label,occorrenze,media_flusso_fisso_max_run_CORRETTO_Correzione_Additiva_dell_Apertura_DECORRELAZIONE_STELLE_GLOBALE
RA_170.24DEC-32.14,85,96.13163960602812
RA_170.24DEC-32.57,86,97.56480469086421
RA_170.26DEC7.06,25,511.6190890311931
RA_170.26DEC9.86,25,113.3665702419242
RA_170.28DEC8.45,25,156.04327893841096
RA_170.32DEC-30.62,43,78.48207737549612
RA_170.42DEC7.22,24,827.4472043940854
RA_170.43DEC-31.13,49,93.8204394178722
RA_170.44DEC-31.12,88,133.77464248140774
RA_170.45DEC-32.09,85,97.82525656956825
RA_170.46DEC-31.68,88,140.93817735592964
RA_170.46DEC9.17,24,1781.4975300086835
RA_170.54DEC9.03,23,203.1823755582017
RA_170.55DEC-32.39,48,81.19914731352164
RA_170.61DEC9.62,22,100.51500632717094
RA_170.66DEC9.89,22,241.025622603817
RA_170.73DEC-32.78,90,138.1079383644411
RA_170.74DEC-31.87,89,124.05526429642124
RA_170.75DEC-30.89,88,383.6073735099893
RA_170.76DEC-32.43,90,209.42332460081886
RA_170.78DEC-31.56,80,93.33441116348891
RA_170.79DEC-32.04,89,132.37816286093542
RA_170.82DEC7.96,18,105.56950469634046
RA_170.86DEC9.02,21,112.5193673768452
RA_170.89DEC-31.59,42,77.29756634267744
RA_170.95DEC8.36,20,109.29303178741354
RA_170.96DEC-30.38,28,77.65220930481492
RA_170.97DEC-30.12,57,86.7976251596404
RA_170.97DEC-31.65,87,189.51212898839395
RA_171.07DEC-31.73,79,105.34062273759115
RA_171.07DEC-32.54,88,178.41285264767615
RA_171.12DEC9.49,19,213.0617951603034
RA_171.16DEC-30.22,85,155.3422738723221
RA_171.16DEC-31.52,87,151.3992584560494
RA_171.17DEC-31.32,86,153.2860250371853
RA_171.24DEC-32.01,83,135.32337124823067
RA_171.28DEC-31.61,54,82.55566345179189
RA_171.30DEC8.91,17,130.79400243819515
RA_171.36DEC7.95,17,832.2080917537286
RA_171.36DEC8.10,17,173.9460690808574
RA_171.37DEC8.92,17,380.2952475090094
RA_171.41DEC8.04,16,254.6393484661122
RA_171.41DEC9.20,16,195.16674837381004
RA_171.49DEC-30.45,17,90.04333601921947
RA_171.51DEC8.64,15,297.11849009386225
RA_171.55DEC-32.47,71,93.03430022882115
RA_171.55DEC7.40,15,166.68265306961715
